album_name,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,mode_mode,key_mode,time_signature_mode,name,images
Hard Rain (Live),0.4543333333333332,0.7148888888888889,-9.508444444444445,0.0528888888888888,0.3826666666666666,0.0003692633333333,0.7894444444444444,0.5951111111111111,126.5317777777778,1,4,4,Hard Rain (Live),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f875d49fa073fe8484870041', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f875d49fa073fe8484870041', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f875d49fa073fe8484870041', 'width': 64}]"
Highway 61 Revisited,0.4474444444444445,0.6685555555555555,-7.163333333333333,0.0362666666666666,0.6655555555555556,1.0878888888888888e-05,0.2558777777777778,0.5685555555555556,105.48577777777776,1,0,4,Highway 61 Revisited,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27341720ef0ae31e10d39e43ca2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0241720ef0ae31e10d39e43ca2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485141720ef0ae31e10d39e43ca2', 'width': 64}]"
Infidels,0.632375,0.559875,-10.78725,0.0405875,0.1839375,5.2767500000000006e-05,0.1913,0.68525,117.18575,1,10,4,Infidels,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e05b304c49b2afe53469b28f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e05b304c49b2afe53469b28f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e05b304c49b2afe53469b28f', 'width': 64}]"
John Wesley Harding,0.5419166666666667,0.3533333333333333,-13.315166666666668,0.0371083333333333,0.4528333333333333,0.0002722,0.1157416666666666,0.64175,144.20416666666668,1,5,4,John Wesley Harding,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27381efb7dfa40bbfa10a199e38', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0281efb7dfa40bbfa10a199e38', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485181efb7dfa40bbfa10a199e38', 'width': 64}]"
Knocked Out Loaded,0.553,0.626125,-11.43075,0.0376125,0.1950906625,3.5425e-05,0.1820999999999999,0.6905,133.217625,1,7,4,Knocked Out Loaded,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cfff54d681fe3dd558e0949a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cfff54d681fe3dd558e0949a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cfff54d681fe3dd558e0949a', 'width': 64}]"
Love And Theft,0.5750833333333333,0.6509166666666667,-8.88225,0.0528166666666666,0.3251366666666667,0.0006357658333333,0.1321083333333333,0.54225,103.52166666666666,1,0,4,Love And Theft,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bc66153fea3a00492f35a9f8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bc66153fea3a00492f35a9f8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bc66153fea3a00492f35a9f8', 'width': 64}]"
MTV Unplugged (Live),0.4950909090909091,0.6521818181818181,-11.258909090909093,0.0461454545454545,0.5492727272727272,0.064251,0.8164545454545454,0.5304545454545454,128.4512727272727,1,9,4,MTV Unplugged (Live),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273de2e5d954dfadb5ed5a16b64', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02de2e5d954dfadb5ed5a16b64', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851de2e5d954dfadb5ed5a16b64', 'width': 64}]"
Modern Times,0.6252,0.563,-9.3724,0.03918,0.4751999999999999,0.005244769,0.19666,0.546,121.1677,1,5,4,Modern Times,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736996cd6e6a1423a0c047cbcc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026996cd6e6a1423a0c047cbcc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516996cd6e6a1423a0c047cbcc', 'width': 64}]"
"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)",0.5039,0.3349,-13.1018,0.0402799999999999,0.5736,0.001293677,0.12821,0.4812999999999999,120.9909,1,4,4,"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736724f11842fdbc0c49653ac1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026724f11842fdbc0c49653ac1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516724f11842fdbc0c49653ac1', 'width': 64}]"
Nashville Skyline,0.5782999999999999,0.3044,-20.4086,0.04532,0.6035,0.13269363,0.17326,0.6062000000000001,123.3847,1,0,4,Nashville Skyline,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27322debe1325cc21c9bb0c0b07', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0222debe1325cc21c9bb0c0b07', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485122debe1325cc21c9bb0c0b07', 'width': 64}]"
